stroke,video_name,pose_path
Backhand,108cfa87_IMG_6554_Backhand_f1612-1625.mp4,../artifacts/poses_bbox/108cfa87_IMG_6554_Backhand_f1612-1625.json
Backhand,a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f1013-1023.mp4,../artifacts/poses_bbox/a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f1013-1023.json
Backhand,a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f168-184.mp4,../artifacts/poses_bbox/a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f168-184.json
Backhand,a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f205-218.mp4,../artifacts/poses_bbox/a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f205-218.json
Backhand,a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f246-257.mp4,../artifacts/poses_bbox/a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f246-257.json
Backhand,a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f3248-3258.mp4,../artifacts/poses_bbox/a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f3248-3258.json
Backhand,a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f3552-3560.mp4,../artifacts/poses_bbox/a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f3552-3560.json
Backhand,a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f3670-3679.mp4,../artifacts/poses_bbox/a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f3670-3679.json
Backhand,a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f4835-4846.mp4,../artifacts/poses_bbox/a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f4835-4846.json
Backhand,a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f5671-5684.mp4,../artifacts/poses_bbox/a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f5671-5684.json
Backhand,a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f7097-7111.mp4,../artifacts/poses_bbox/a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f7097-7111.json
Backhand,a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f7284-7297.mp4,../artifacts/poses_bbox/a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f7284-7297.json
Backhand,a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f7387-7396.mp4,../artifacts/poses_bbox/a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f7387-7396.json
Backhand,a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f800-812.mp4,../artifacts/poses_bbox/a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f800-812.json
Backhand,a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f9541-9552.mp4,../artifacts/poses_bbox/a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f9541-9552.json
Backhand,a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f9930-9938.mp4,../artifacts/poses_bbox/a0136e6b_Di_Nenno_Augsburger_vs_Garcia_Barahona_M_Backhand_f9930-9938.json
Backhand,d4e34e3e_IMG_6557_Backhand_f1505-1521.mp4,../artifacts/poses_bbox/d4e34e3e_IMG_6557_Backhand_f1505-1521.json
Backhand,d4e34e3e_IMG_6557_Backhand_f1694-1707.mp4,../artifacts/poses_bbox/d4e34e3e_IMG_6557_Backhand_f1694-1707.json
Backhand,d4e34e3e_IMG_6557_Backhand_f2613-2624.mp4,../artifacts/poses_bbox/d4e34e3e_IMG_6557_Backhand_f2613-2624.json
Backhand,d4e34e3e_IMG_6557_Backhand_f696-709.mp4,../artifacts/poses_bbox/d4e34e3e_IMG_6557_Backhand_f696-709.json
Backhand_Volley,4965c88d_IMG_6592_Backhand_Volley_f15597-15611.mp4,../artifacts/poses_bbox/4965c88d_IMG_6592_Backhand_Volley_f15597-15611.json
Backhand_Volley,4965c88d_IMG_6592_Backhand_Volley_f16181-16195.mp4,../artifacts/poses_bbox/4965c88d_IMG_6592_Backhand_Volley_f16181-16195.json
Backhand_Volley,4965c88d_IMG_6592_Backhand_Volley_f16805-16818.mp4,../artifacts/poses_bbox/4965c88d_IMG_6592_Backhand_Volley_f16805-16818.json
Backhand_Volley,750cdfaf_IMG_6593_Backhand_Volley_f4372-4384.mp4,../artifacts/poses_bbox/750cdfaf_IMG_6593_Backhand_Volley_f4372-4384.json
Backhand_Volley,750cdfaf_IMG_6593_Backhand_Volley_f5229-5240.mp4,../artifacts/poses_bbox/750cdfaf_IMG_6593_Backhand_Volley_f5229-5240.json
